forest_area,freshwater,paris_agreement,unfccc,hdi,renewable_energy_consumption,total_greenhouse_gas_emission,country
0.82,11.2,1.0,1993.0,0.745,0.2,260685.67122000002,Algeria
53.43,148.0,0.0,2000.0,0.591,61.0,70275.60595,Angola
27.8,10.3,1.0,1994.0,0.504,46.2,15017.664044,Benin
26.92,2.4,1.0,1994.0,0.708,27.2,12161.814371,Botswana
22.72,12.5,1.0,1993.0,0.438,67.5,30925.64507,Burkina Faso
10.89,10.1,0.0,1997.0,0.42,83.5,3608.0469310000003,Burundi
11.34,0.3,1.0,1995.0,0.661,23.4,773.283239,Cabo Verde
43.03,273.0,1.0,1994.0,0.587,78.9,90125.59882,Cameroon
35.8,141.0,1.0,1995.0,0.387,90.9,20973.68377,Central African Republic
3.43,15.0,1.0,1994.0,0.394,73.6,88731.91414000001,Chad
17.7,1.2,1.0,1994.0,0.586,48.3,611.83367,Comoros
64.26,222.0,1.0,1996.0,0.593,71.9,18721.176765999997,Congo
8.92,76.8,1.0,1994.0,0.534,63.3,22419.47125,Côte d’Ivoire
55.65,900.0,1.0,1995.0,0.481,96.2,53670.37521,Democratic Republic of the Congo
0.25,0.3,1.0,1995.0,0.515,31.9,1346.805919,Djibouti
0.05,1.0,1.0,1994.0,0.728,6.5,295626.74723,Egypt
87.29,26.0,1.0,2000.0,0.65,7.0,9162.054719,Equatorial Guinea
10.45,2.8,0.0,1995.0,0.493,80.9,6169.104706,Eritrea
15.24,122.0,1.0,1994.0,0.492,89.5,166504.88426999998,Ethiopia
91.32,164.0,1.0,1998.0,0.693,90.1,13323.886677,Gabon
23.98,3.0,1.0,1994.0,0.495,49.7,2316.867878,Gambia
35.1,30.3,1.0,1995.0,0.602,40.3,37618.192501,Ghana
25.19,226.0,1.0,1993.0,0.471,65.8,28173.636465999996,Guinea
70.41,16.0,1.0,1995.0,0.483,87.2,2355.9776190000002,Guinea-Bissau
6.34,20.7,1.0,1994.0,0.601,72.5,78018.33186,Kenya
1.14,5.2,1.0,1995.0,0.521,41.4,3848.591561,Lesotho
79.08,200.0,1.0,2002.0,0.487,93.0,1813.6708390000001,Liberia
0.12,0.7,0.0,1999.0,0.746,3.1,70297.772547,Libya
21.36,337.0,1.0,1999.0,0.487,84.8,29432.757249000002,Madagascar
23.78,16.1,1.0,1994.0,0.508,70.3,11084.555339,Malawi
10.9,60.0,1.0,1994.0,0.41,63.8,42308.08295,Mali
0.3,0.4,1.0,1994.0,0.54,23.8,14017.184358,Mauritania
19.1,2.8,1.0,1992.0,0.796,9.4,5915.795287999999,Mauritius
12.87,29.0,1.0,1995.0,0.698,10.9,87442.938802,Morocco
46.73,100.3,1.0,1995.0,0.461,80.9,32800.698461,Mozambique
8.06,6.2,1.0,1995.0,0.61,31.3,13209.645547,Namibia
0.85,3.5,1.0,1995.0,0.394,81.9,44023.20363,Niger
23.75,221.0,1.0,1994.0,0.548,82.5,304234.17718,Nigeria
11.19,9.5,1.0,1998.0,0.548,81.7,6069.135704,Rwanda
54.06,2.2,1.0,1999.0,0.613,41.6,170.13039,Sao Tome and Principe
41.91,25.8,1.0,1994.0,0.517,38.6,28466.228496000003,Senegal
73.26,220.9800738758433,1.0,1992.0,0.802,1.3,697.4353350000001,Seychelles
35.12,160.0,1.0,1995.0,0.458,75.1,5768.621037999999,Sierra Leone
9.53,6.0,1.0,2009.0,0.38,95.5,25961.407449,Somalia
14.06,44.8,1.0,1997.0,0.717,9.8,483447.80227999995,South Africa
11.33,26.0,0.0,2014.0,0.381,33.2,55946.88077999999,South Sudan
9.84,4.0,1.0,1993.0,0.516,62.1,105984.23070000001,Sudan
28.93,2.6,1.0,1996.0,0.61,66.0,2897.278828,Eswatini
22.23,11.5,1.0,1995.0,0.547,76.6,7398.63638,Togo
4.52,4.2,1.0,1993.0,0.732,12.9,39244.846715,Tunisia
11.66,39.0,1.0,1993.0,0.55,92.9,39257.47138,Uganda
51.64,84.0,1.0,1996.0,0.532,84.0,88216.06114,United Republic of Tanzania
60.28,80.2,1.0,1993.0,0.569,81.8,35419.34697,Zambia
45.09,12.3,1.0,1992.0,0.55,84.4,25064.172541,Zimbabwe
1.85,47.2,1.0,2002.0,0.462,17.6,29794.892761,Afghanistan
0.91,0.0,1.0,1994.0,0.888,0.0,50283.272428000004,Bahrain
14.47,105.0,1.0,1994.0,0.67,28.0,202473.94363000002,Bangladesh
71.49,78.0,1.0,1995.0,0.681,88.4,1583.9893260000001,Bhutan
72.11,8.5,1.0,2007.0,0.823,0.0,11264.770316,Brunei Darussalam
45.71,120.6,1.0,1995.0,0.6,51.4,41273.818194,Cambodia
23.34,2812.9,1.0,1993.0,0.788,14.8,12667891.5913,China
18.67,0.8,1.0,1997.0,0.907,15.0,7893.160735,Cyprus
50.08,67.0,1.0,1994.0,0.5530387759629578,12.7,73172.729016,Democratic People's Republic of Korea
62.4,28.6,1.0,1993.0,0.729,31.8,1663.081599,Fiji
24.27,1446.0,1.0,1993.0,0.644,35.8,3177494.7621999998,India
49.07,2018.7,1.0,1994.0,0.713,22.0,972787.5520900001,Indonesia
6.6,128.5,0.0,1996.0,0.78,1.0,830923.0787600001,Iran (Islamic Republic of)
1.9,35.2,0.0,2009.0,0.673,1.1,254868.16164900002,Iraq
68.4,430.0,1.0,1993.0,0.92,8.5,1058346.41766,Japan
1.1,0.7,1.0,1993.0,0.736,11.0,28878.058557999997,Jordan
1.28,64.4,1.0,1995.0,0.802,1.8,293243.61572,Kazakhstan
1.46,0.0,1.0,1995.0,0.628,42.8,85.234366,Kiribati
0.35,0.0,1.0,1994.0,0.847,0.1,115896.48398599999,Kuwait
6.86,48.9,0.0,2000.0,0.701,30.0,15961.297206000001,Kyrgyzstan
71.9,190.4,1.0,1995.0,0.62,49.9,30333.286498,Lao People's Democratic Republic
14.01,4.8,0.0,1994.0,0.723,6.7,25780.527367000002,Lebanon
58.18,580.0,1.0,1994.0,0.807,5.8,291579.993837,Malaysia
2.73,0.0,1.0,1992.0,0.762,1.3,1600.8839300000002,Maldives
52.22,86.13727753573312,1.0,1992.0,0.731,12.0,142.610565,Marshall Islands
92.03,179.46438184797455,1.0,1993.0,0.634,2.0,187.736317,Micronesia (Federated States of)
9.12,34.8,1.0,1993.0,0.741,4.0,53589.95689,Mongolia
43.71,1002.8,1.0,1994.0,0.608,59.8,128941.14659,Myanmar
41.59,198.2,1.0,1994.0,0.601,74.5,45770.632411,Nepal
0.01,1.4,1.0,1995.0,0.819,0.1,91912.29403800001,Oman
